customer_id,tier,score,top_reason,emi_amount,expected_loss,action,message,signal_groups,escalated,model_version,thresholds
C000840,Red,1.0,pressure on cash-flow,39398,39398.0,human_offer,"Hi C000840, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+behavioral,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C000320,Red,1.0,avg_balance_28d=2603.81,39236,39236.0,human_offer,"Hi C000320, based on avg_balance_28d=2603.81 you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline+borrowing,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C000889,Red,1.0,pressure on cash-flow,38618,38618.0,human_offer,"Hi C000889, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline+borrowing,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C001977,Red,1.0,pressure on cash-flow,38251,38251.0,human_offer,"Hi C001977, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",discipline+behavioral,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C001532,Red,1.0,pressure on cash-flow,38054,38054.0,human_offer,"Hi C001532, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C000146,Red,1.0,avg_balance_28d=29452.54,37980,37980.0,human_offer,"Hi C000146, based on avg_balance_28d=29452.54 you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C001693,Red,1.0,pressure on cash-flow,37947,37947.0,human_offer,"Hi C001693, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",discipline+borrowing,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C000169,Red,1.0,emi_to_income=0.91,37657,37657.0,human_offer,"Hi C000169, based on emi_to_income=0.91 you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+behavioral,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C000743,Red,0.9286,pressure on cash-flow,39895,37046.5,human_offer,"Hi C000743, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C001487,Red,1.0,pressure on cash-flow,36392,36392.0,human_offer,"Hi C001487, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C001691,Red,1.0,pressure on cash-flow,36121,36121.0,human_offer,"Hi C001691, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C000077,Red,1.0,avg_balance_28d=9452.02,35958,35958.0,human_offer,"Hi C000077, based on avg_balance_28d=9452.02 you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",discipline+borrowing,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C000616,Red,0.9286,pressure on cash-flow,38673,35911.75,human_offer,"Hi C000616, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",discipline+behavioral,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C000338,Red,1.0,avg_balance_28d=19124.03,35861,35861.0,human_offer,"Hi C000338, based on avg_balance_28d=19124.03 you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",discipline+behavioral,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C000045,Red,1.0,avg_balance_28d=-14018.33,35768,35768.0,human_offer,"Hi C000045, based on avg_balance_28d=-14018.33 you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",discipline+borrowing+behavioral,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C001562,Red,1.0,pressure on cash-flow,35168,35168.0,human_offer,"Hi C001562, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline+borrowing+behavioral,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C001050,Red,1.0,pressure on cash-flow,34841,34841.0,human_offer,"Hi C001050, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline+borrowing+cash,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C001142,Red,1.0,pressure on cash-flow,33459,33459.0,human_offer,"Hi C001142, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline+borrowing,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
